City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
251,juneau,58.3019,-134.4197,20.0,42,20,3.6,US,1688880978
252,bamboo flat,11.7,92.7167,29.07,73,100,1.47,IN,1688880979
253,nuku'alofa,-21.1333,-175.2,24.19,78,20,2.57,TO,1688880980
254,kendari,-3.945,122.4989,28.24,70,58,3.26,ID,1688880965
255,trairi,-3.2778,-39.2689,23.53,89,2,3.44,BR,1688880982
256,urengoy,65.9667,78.3667,19.67,47,36,6.1,RU,1688880983
257,harstad,68.799,16.5293,11.66,100,100,1.79,NO,1688880985
258,thohoyandou,-22.9456,30.485,17.73,30,0,1.57,ZA,1688880986
259,alice springs,-23.7,133.8833,18.75,32,1,6.91,AU,1688880987
260,san antonio de pale,-1.4014,5.6325,23.51,81,99,3.95,GQ,1688880988
261,hays,30.0502,-98.0336,29.4,72,11,3.13,US,1688880989
262,bethanie,-26.4833,17.15,2.03,90,2,1.44,NA,1688880991
263,mossel bay,-34.1831,22.146,8.96,80,70,5.94,ZA,1688880784
264,okahandja,-21.9833,16.9167,9.77,38,0,1.75,NA,1688880994
265,bamyan,34.75,67.25,17.65,24,14,5.37,AF,1688880995
266,gumel,12.6279,9.3912,28.57,51,97,4.38,NG,1688880996
267,kachug,53.9606,105.8817,29.28,38,56,1.81,RU,1688880998
268,nar'yan-mar,67.6713,53.087,8.57,64,100,4.69,RU,1688880999
269,weno,7.4515,151.8468,25.97,94,100,2.06,FM,1688881000
270,kruisfontein,-34.0033,24.7314,8.82,84,86,8.29,ZA,1688881001
271,katsuura,35.1333,140.3,26.44,88,99,12.98,JP,1688880977
272,san antonio oeste,-40.7319,-64.9477,8.58,73,72,5.44,AR,1688880931
273,lindsdal,56.7333,16.3,21.14,77,40,2.57,SE,1688881005
274,mutuali,-14.8706,37.0044,20.24,68,92,0.99,MZ,1688881006
275,paracuru,-3.41,-39.0306,24.5,90,4,3.93,BR,1688881007
276,as saff,29.5647,31.2811,28.0,54,0,4.77,EG,1688881008
277,codrington,-38.2667,141.9667,12.98,78,56,7.87,AU,1688881009
278,murrells inlet,33.551,-79.0414,26.03,95,0,2.06,US,1688880706
279,okhotsk,59.3833,143.3,17.74,56,19,5.75,RU,1688881011
280,saint joseph,39.7686,-94.8466,19.2,85,0,0.0,US,1688880919
281,tianpeng,30.9866,103.9393,35.35,45,6,1.59,CN,1688881015
282,coahuayana de hidalgo,18.7,-103.6583,24.03,87,54,1.98,MX,1688881016
283,tinajo,29.0788,-13.7081,20.49,78,40,3.6,ES,1688881017
284,arraial do cabo,-22.9661,-42.0278,21.83,64,59,6.38,BR,1688881018
285,yabelo,4.8833,38.0833,16.21,66,41,3.67,ET,1688881019
286,mata-utu,-13.2816,-176.1745,28.0,72,85,8.77,WF,1688881020
287,loango,-4.6719,11.8312,18.81,100,20,1.54,CG,1688881022
288,hasaki,35.7333,140.8333,30.68,82,100,8.78,JP,1688881023
289,sinabang,2.4803,96.3801,28.54,71,86,1.48,ID,1688881024
290,miquelon,47.0975,-56.3814,15.0,97,62,4.05,PM,1688881025
291,tual,-5.6667,132.75,26.5,83,74,10.42,ID,1688881026
292,alofi,-19.0595,-169.9187,23.94,88,12,2.06,NU,1688881027
293,laurel,39.0993,-76.8483,24.82,91,0,1.54,US,1688880604
294,gornopravdinsk,60.05,69.9,22.48,44,96,1.99,RU,1688881030
295,thief river falls,48.1191,-96.1812,16.53,88,75,5.14,US,1688881031
296,kampong thom,12.7111,104.8887,33.65,52,98,3.84,KH,1688881032
297,talavera de la reina,39.9635,-4.8308,18.77,59,99,1.19,ES,1688880400
298,puerto lempira,15.2667,-83.7667,25.91,90,98,3.16,HN,1688881035
299,bukoba,-1.3317,31.8122,21.99,68,20,5.14,TZ,1688881036
300,whiteville,34.3388,-78.7031,24.41,100,0,0.0,US,1688881038
301,yuzhno-kurilsk,44.0306,145.8556,17.41,83,59,2.99,RU,1688881039
302,hovd,48.0056,91.6419,25.56,23,98,3.36,MN,1688881040
303,dabola,10.75,-11.1167,20.97,95,100,1.47,GN,1688881041
304,chu,43.5983,73.7614,31.84,21,0,3.47,KZ,1688881042
305,waingapu,-9.6567,120.2641,28.24,66,28,8.34,ID,1688881044
306,port lincoln,-34.7333,135.8667,14.77,68,89,6.32,AU,1688881045
307,pontevedra,42.431,-8.6444,17.3,94,32,1.32,ES,1688881046
308,cartagena del chaira,1.3349,-74.8429,21.2,100,80,0.46,CO,1688881047
309,mount isa,-20.7333,139.5,22.87,23,5,5.66,AU,1688881048
310,mermoz boabab,14.7065,-17.4758,26.31,80,95,5.65,SN,1688880999
311,kombolcha,11.0816,39.7434,23.45,52,47,0.97,ET,1688881051
312,narrabri,-30.3167,149.7833,18.07,48,0,0.89,AU,1688881052
313,al hufuf,25.3646,49.5653,39.19,12,15,4.63,SA,1688881053
314,yigo village,13.5361,144.8886,29.16,75,75,6.17,GU,1688881054
315,camilla,31.2313,-84.2105,25.73,85,29,2.89,US,1688880899
316,formosa,-26.1775,-58.1781,18.31,96,0,1.54,AR,1688881056
317,atafu village,-8.5421,-172.5159,28.84,76,77,7.89,TK,1688881058
318,suva,-18.1416,178.4415,25.71,78,40,1.54,FJ,1688881059
319,akureyri,65.6835,-18.0878,8.96,93,0,1.54,IS,1688881060
320,porto murtinho,-21.6989,-57.8825,24.99,55,95,1.58,BR,1688881061
321,vadso,70.0744,29.7487,7.09,81,100,2.06,NO,1688881062
322,sekong,-6.3996,106.0252,30.9,60,30,0.51,ID,1688881064
323,oliveira dos brejinhos,-12.3169,-42.8961,21.28,63,70,1.15,BR,1688881065
324,hualahuises,24.8847,-99.6733,25.08,78,19,5.26,MX,1688881067
325,nowshahr,36.649,51.496,28.97,70,20,5.14,IR,1688881068
326,tirumullaivasal,11.2333,79.8333,31.89,56,100,2.71,IN,1688881069
327,fetesti,44.3833,27.8333,23.08,49,96,9.15,RO,1688881071
328,volodarka,49.5248,29.9122,18.25,61,100,6.36,UA,1688881072
329,glace bay,46.1969,-59.957,17.72,96,20,2.57,CA,1688881073
330,peniche,39.3558,-9.3811,16.63,93,1,4.04,PT,1688881075
331,paragominas,-2.9667,-47.4833,23.43,86,65,1.21,BR,1688881076
332,humaita,-7.5061,-63.0208,23.7,64,2,0.98,BR,1688881077
333,kimbe,-5.5502,150.1429,27.37,80,95,3.51,PG,1688881079
334,ulladulla,-35.35,150.4667,15.62,53,6,6.67,AU,1688881080
335,vanimo,-2.6741,141.3028,26.21,82,100,1.33,PG,1688881082
336,flying fish cove,-10.4217,105.6791,25.82,88,100,5.66,CX,1688881083
337,rio grande,-32.035,-52.0986,13.86,81,69,4.16,BR,1688881084
338,manaure,11.7751,-72.4445,27.91,76,93,4.96,CO,1688881086
339,i-n-salah,27.1935,2.4607,32.96,10,0,7.96,DZ,1688881087
340,tazacorte,28.629,-17.9293,20.54,78,0,2.57,ES,1688881088
341,asaka,35.8047,139.6019,33.75,64,75,4.63,JP,1688881089
342,barra,-11.0894,-43.1417,22.1,73,1,3.37,BR,1688881090
343,langtoucun,40.0261,124.3286,27.82,72,55,4.64,CN,1688881092
344,st. john's,47.5649,-52.7093,16.66,94,75,2.06,CA,1688880925
345,chibougamau,49.9168,-74.3659,16.79,100,100,1.54,CA,1688881094
346,isla mujeres,21.2311,-86.731,29.03,85,29,4.92,MX,1688881095
347,cozumel,20.5083,-86.9458,27.75,85,8,4.57,MX,1688880916
348,hanceville,34.0607,-86.7675,23.14,99,93,0.67,US,1688881097
349,khandyga,62.6667,135.6,19.67,27,69,5.43,RU,1688881098
350,rojhan,28.6868,69.9534,38.46,34,60,5.17,PK,1688881100
351,manado,1.487,124.8455,29.43,84,40,3.6,ID,1688881101
352,stornoway,58.2093,-6.3865,13.98,92,100,1.54,GB,1688881102
353,vernon,50.2581,-119.2691,24.74,41,16,1.03,CA,1688881103
354,bontang,0.1333,117.5,27.51,77,93,3.02,ID,1688880830
355,bambari,5.768,20.6757,22.49,80,99,0.61,CF,1688881106
356,al burayqah,30.4062,19.5739,26.1,67,0,4.95,LY,1688881107
357,sur,22.5667,59.5289,36.33,43,100,0.98,OM,1688881108
358,los zacatones,22.95,-102.05,18.38,76,68,5.98,MX,1688881109
359,kafr laha,34.8947,36.4958,27.42,57,12,7.52,SY,1688881110
360,tamanrasset,22.785,5.5228,25.95,14,0,6.69,DZ,1688881112
361,pelabuhanratu,-6.9875,106.5514,28.76,77,47,1.08,ID,1688881113
362,mukalla,14.5425,49.1242,31.97,61,100,1.58,YE,1688881114
363,vilyuysk,63.7553,121.6247,23.27,30,54,2.96,RU,1688881115
